rank,location_name,year,cause_name,val,total_deaths,share
1,Nepal,2020,COVID-19,21168.825984759816,213579.77815327182,0.09911437387845012
2,Nepal,2020,Chronic obstructive pulmonary disease,20567.78690028423,213579.77815327182,0.09630025406957823
3,Nepal,2020,Ischemic heart disease,16547.76493841389,213579.77815327182,0.07747814461413417
4,Nepal,2020,Total cancers,13628.32919514044,213579.77815327182,0.0638090802087092
5,Nepal,2020,Total Cancers excluding Non-melanoma skin cancer,13559.789624514146,213579.77815327182,0.06348817168816047
6,Nepal,2020,Intracerebral hemorrhage,7860.161025995805,213579.77815327182,0.036801990778148934
7,Nepal,2020,Lower respiratory infections,7791.813337074717,213579.77815327182,0.036481980665243774
8,Nepal,2020,Diabetes mellitus type 2,7077.346423124231,213579.77815327182,0.0331367814140405
9,Nepal,2020,Ischemic stroke,6096.100107313818,213579.77815327182,0.028542496672784523
10,Nepal,2020,Drug-susceptible tuberculosis,5206.4757388850485,213579.77815327182,0.024377194245181356
11,Nepal,2020,Self-harm by other specified means,4238.246475512007,213579.77815327182,0.019843856530605174
12,Nepal,2020,Rheumatic heart disease,3944.2314603701975,213579.77815327182,0.018467251415251906
13,Nepal,2020,Asthma,3676.413840960078,213579.77815327182,0.01721330489594274
14,Nepal,2020,Neonatal encephalopathy due to birth asphyxia and trauma,3460.2193594299624,213579.77815327182,0.01620106261626883
15,Nepal,2020,Diarrheal diseases,3326.340308243477,213579.77815327182,0.015574228688712218
16,Nepal,2020,Neonatal preterm birth,3082.9591288975457,213579.77815327182,0.01443469581041101
17,Nepal,2020,Hypertensive heart disease,2956.494295225988,213579.77815327182,0.013842575925443237
18,Nepal,2020,Falls,2832.9244292663907,213579.77815327182,0.013264010543326774
19,Nepal,2020,Total burden related to hepatitis B,2458.0678180431523,213579.77815327182,0.011508897702286977
20,Nepal,2020,Alzheimer's disease and other dementias,2440.7627386461654,213579.77815327182,0.011427873742309979
21,Nepal,2020,Peptic ulcer disease,2258.1801206042896,213579.77815327182,0.010573005272923104
22,Nepal,2020,Chronic hepatitis B including cirrhosis,2231.812928141257,213579.77815327182,0.010449551673097232
23,Nepal,2020,Cirrhosis due to alcohol,1925.3777162658423,213579.77815327182,0.009014794063903037
24,Nepal,2020,Drowning,1921.573703977824,213579.77815327182,0.008996983331440863
25,Nepal,2020,Neonatal sepsis and other neonatal infections,1356.9998037444338,213579.77815327182,0.006353596840851696
26,Nepal,2020,Stomach cancer,1294.9112878632222,213579.77815327182,0.006062892746961988
27,Nepal,2020,"Tracheal, bronchus, and lung cancer",1275.2600828926268,213579.77815327182,0.005970884013080388
28,Nepal,2020,Other unspecified infectious diseases,1216.2709658893532,213579.77815327182,0.005694691587405421
29,Nepal,2020,Paralytic ileus and intestinal obstruction,1123.70693065539,213579.77815327182,0.0052612983325087135
30,Nepal,2020,Chronic kidney disease due to other and unspecified causes,1111.4312839302304,213579.77815327182,0.0052038226349904295
