rank,location_name,year,cause_name,val,total_deaths,share
1,Nepal,2023,Chronic obstructive pulmonary disease,23685.413745773614,217331.73284558472,0.10898276765962299
2,Nepal,2023,Ischemic heart disease,20405.01708076707,217331.73284558472,0.09388880681895145
3,Nepal,2023,Total cancers,16921.080729874546,217331.73284558472,0.07785830678438964
4,Nepal,2023,Total Cancers excluding Non-melanoma skin cancer,16830.681835117037,217331.73284558472,0.07744235788648186
5,Nepal,2023,Intracerebral hemorrhage,9151.927219618654,217331.73284558472,0.0421104046785526
6,Nepal,2023,Lower respiratory infections,8720.222662476037,217331.73284558472,0.040124019388700125
7,Nepal,2023,Diabetes mellitus type 2,7731.385866056717,217331.73284558472,0.0355741233221101
8,Nepal,2023,Ischemic stroke,7190.899705436342,217331.73284558472,0.03308720549587442
9,Nepal,2023,Drug-susceptible tuberculosis,4786.843691841258,217331.73284558472,0.022025516610785664
10,Nepal,2023,Rheumatic heart disease,4487.03226048411,217331.73284558472,0.020646006000753555
11,Nepal,2023,Self-harm by other specified means,4384.612985387081,217331.73284558472,0.020174748197044793
12,Nepal,2023,Asthma,3918.254968764694,217331.73284558472,0.01802891329978321
13,Nepal,2023,Hypertensive heart disease,3694.032104120848,217331.73284558472,0.016997205404631253
14,Nepal,2023,Falls,3331.2978095240915,217331.73284558472,0.015328170285611238
15,Nepal,2023,Neonatal encephalopathy due to birth asphyxia and trauma,3306.8824725915165,217331.73284558472,0.015215828950947871
16,Nepal,2023,Diarrheal diseases,3067.376707634077,217331.73284558472,0.01411380044447289
17,Nepal,2023,Neonatal preterm birth,2882.2454276573367,217331.73284558472,0.013261963128528434
18,Nepal,2023,Alzheimer's disease and other dementias,2735.1495478061456,217331.73284558472,0.012585136611179938
19,Nepal,2023,Total burden related to hepatitis B,2604.3574654954245,217331.73284558472,0.011983328119625465
20,Nepal,2023,Chronic hepatitis B including cirrhosis,2321.226657029923,217331.73284558472,0.010680569407133775
21,Nepal,2023,Peptic ulcer disease,2203.931479023468,217331.73284558472,0.010140863693335443
22,Nepal,2023,Drowning,1913.7513422450445,217331.73284558472,0.008805669182257772
23,Nepal,2023,Cirrhosis due to alcohol,1884.9044190445504,217331.73284558472,0.008672936963070112
24,Nepal,2023,"Tracheal, bronchus, and lung cancer",1698.861973726219,217331.73284558472,0.007816907137685545
25,Nepal,2023,Stomach cancer,1597.2205117594715,217331.73284558472,0.007349228255103936
26,Nepal,2023,Breast cancer,1450.6753263568055,217331.73284558472,0.006674935626577448
27,Nepal,2023,Chronic kidney disease due to other and unspecified causes,1336.6995875658456,217331.73284558472,0.006150503518579946
28,Nepal,2023,Neonatal sepsis and other neonatal infections,1317.557247625538,217331.73284558472,0.006062424618689572
29,Nepal,2023,Cervical cancer,1290.698375678194,217331.73284558472,0.005938839941957494
30,Nepal,2023,Idiopathic epilepsy,1276.6326119310515,217331.73284558472,0.00587411969350148
