rank,location_name,year,cause_name,val,total_deaths,share
1,Nepal,2022,Chronic obstructive pulmonary disease,22625.781837512914,211159.64027717974,0.10715012493776306
2,Nepal,2022,Ischemic heart disease,20200.536299705112,211159.64027717974,0.09566475995691591
3,Nepal,2022,Total cancers,15526.5925040258,211159.64027717974,0.07353011438949575
4,Nepal,2022,Total Cancers excluding Non-melanoma skin cancer,15445.556847891768,211159.64027717974,0.07314634949944546
5,Nepal,2022,Intracerebral hemorrhage,8770.549370667266,211159.64027717974,0.041535159650558984
6,Nepal,2022,Lower respiratory infections,8028.003520908612,211159.64027717974,0.0380186455629997
7,Nepal,2022,Diabetes mellitus type 2,7337.005771506397,211159.64027717974,0.03474625057077877
8,Nepal,2022,Ischemic stroke,7189.570026688704,211159.64027717974,0.03404803123007446
9,Nepal,2022,Drug-susceptible tuberculosis,4881.16041584003,211159.64027717974,0.023115972396205782
10,Nepal,2022,Self-harm by other specified means,4307.837651416844,211159.64027717974,0.020400857122895927
11,Nepal,2022,Rheumatic heart disease,4287.268359937967,211159.64027717974,0.02030344602931821
12,Nepal,2022,Asthma,4011.511513660764,211159.64027717974,0.018997529586596347
13,Nepal,2022,COVID-19,3422.690406193881,211159.64027717974,0.01620901798137688
14,Nepal,2022,Hypertensive heart disease,3394.3848980359485,211159.64027717974,0.01607497007278613
15,Nepal,2022,Neonatal encephalopathy due to birth asphyxia and trauma,3312.431725086833,211159.64027717974,0.015686860049291394
16,Nepal,2022,Diarrheal diseases,3124.997971097402,211159.64027717974,0.014799219997701066
17,Nepal,2022,Falls,3118.580083382857,211159.64027717974,0.01476882646366151
18,Nepal,2022,Neonatal preterm birth,2958.6834520459693,211159.64027717974,0.01401159543633546
19,Nepal,2022,Alzheimer's disease and other dementias,2605.2216322755708,211159.64027717974,0.012337687395450256
20,Nepal,2022,Total burden related to hepatitis B,2437.4585808693446,211159.64027717974,0.011543202941953313
21,Nepal,2022,Peptic ulcer disease,2233.437773241755,211159.64027717974,0.010577010693473535
22,Nepal,2022,Chronic hepatitis B including cirrhosis,2181.35121182075,211159.64027717974,0.01033034157927807
23,Nepal,2022,Cirrhosis due to alcohol,1910.2252519518688,211159.64027717974,0.009046355872951868
24,Nepal,2022,Drowning,1901.9910570698353,211159.64027717974,0.009007360755934123
25,Nepal,2022,"Tracheal, bronchus, and lung cancer",1576.7454089140035,211159.64027717974,0.007467077547794081
26,Nepal,2022,Stomach cancer,1476.8352724207894,211159.64027717974,0.006993927771813848
27,Nepal,2022,Neonatal sepsis and other neonatal infections,1309.3304821550284,211159.64027717974,0.006200666379410049
28,Nepal,2022,Breast cancer,1287.3117190459327,211159.64027717974,0.006096390945524138
29,Nepal,2022,Chronic kidney disease due to other and unspecified causes,1241.5760535848117,211159.64027717974,0.005879798108933368
30,Nepal,2022,Idiopathic epilepsy,1206.3026474122407,211159.64027717974,0.00571275195311368
