location_name,year,cause_name,val,total_deaths,share
Nepal,2000,HIV/AIDS resulting in other diseases,164.3586912909273,197330.3272502659,0.0008329114616147065
Nepal,2000,Testicular cancer,13.225172075229729,197330.3272502659,6.702047404227324e-05
Nepal,2000,Kidney cancer,67.14242163565558,197330.3272502659,0.00034025394155710095
Nepal,2000,Bladder cancer,120.56400946196324,197330.3272502659,0.0006109755714794761
Nepal,2000,Brain and central nervous system cancer,244.00211167907332,197330.3272502659,0.0012365160240656549
Nepal,2000,Thyroid cancer,66.00866417138327,197330.3272502659,0.00033450846147772926
Nepal,2000,Mesothelioma,8.310910086041172,197330.3272502659,4.211673999557498e-05
Nepal,2000,Hodgkin lymphoma,101.25505464205736,197330.3272502659,0.0005131246476556022
Nepal,2000,Multiple myeloma,76.34149702410497,197330.3272502659,0.00038687158779848475
Nepal,2000,Other malignant neoplasms,413.995082679212,197330.3272502659,0.002097980013757131
Nepal,2000,Rheumatic heart disease,3597.0823101982332,197330.3272502659,0.018228735341001095
Nepal,2000,Ischemic heart disease,12907.99325972977,197330.3272502659,0.06541312447811985
Nepal,2000,Ischemic stroke,4226.902957388157,197330.3272502659,0.02142044264705116
Nepal,2000,Intracerebral hemorrhage,5791.971205093592,197330.3272502659,0.029351652560469708
Nepal,2000,Subarachnoid hemorrhage,458.7968083390969,197330.3272502659,0.0023250192442909393
Nepal,2000,Hypertensive heart disease,1856.1675167126416,197330.3272502659,0.009406397600296589
Nepal,2000,Atrial fibrillation and flutter,184.89377714403523,197330.3272502659,0.0009369759819510262
Nepal,2000,Aortic aneurysm,65.52191634280831,197330.3272502659,0.0003320417963920446
Nepal,2000,Lower extremity peripheral arterial disease,19.9307469622348,197330.3272502659,0.00010100194551928887
Nepal,2000,Endocarditis,101.61714324439843,197330.3272502659,0.0005149595840659688
Nepal,2000,Diarrheal diseases,11978.914610258638,197330.3272502659,0.06070488392322117
Nepal,2000,Typhoid fever,2883.9140022478095,197330.3272502659,0.014614651698166297
Nepal,2000,Paratyphoid fever,588.91725067367,197330.3272502659,0.0029844234227958816
Nepal,2000,Other intestinal infectious diseases,2.9762601530940693,197330.3272502659,1.5082629186133167e-05
Nepal,2000,Lower respiratory infections,17228.678792055634,197330.3272502659,0.08730882390016621
Nepal,2000,Upper respiratory infections,83.98085466785274,197330.3272502659,0.000425585138574991
Nepal,2000,Otitis media,6.007120796504775,197330.3272502659,3.044195426122307e-05
