location_name,year,cause_name,val,total_deaths,share
Nepal,2000,Falls,2006.2022051719653,197330.3272502659,0.010166720103938114
Nepal,2000,Drowning,2232.0712613793285,197330.3272502659,0.011311344244356748
Nepal,2001,Falls,2019.773219887595,193475.1720541984,0.010439443978485228
Nepal,2001,Drowning,2162.0713589167367,193475.1720541984,0.011174929247826556
Nepal,2002,Falls,2043.208917751476,194896.55810052942,0.010483555675198585
Nepal,2002,Drowning,2097.72947034777,194896.55810052942,0.01076329664716676
Nepal,2003,Falls,2065.8750015397773,189802.3521475949,0.010884348787908081
Nepal,2003,Drowning,2044.8826730459425,189802.3521475949,0.010773747795579436
Nepal,2004,Falls,2074.403939004901,187955.9747866559,0.011036648030792875
Nepal,2004,Drowning,1987.416506044288,187955.9747866559,0.010573840540584861
Nepal,2005,Falls,2126.205365699877,184614.03645156985,0.011517029834606582
Nepal,2005,Drowning,2081.805563467842,184614.03645156985,0.011276529149580487
Nepal,2006,Falls,2152.2385215792333,181412.87594976148,0.011863758348526765
Nepal,2006,Drowning,2113.6847529963784,181412.87594976148,0.011651238876681054
Nepal,2007,Falls,2173.04011938634,179639.23475364794,0.01209668991501987
Nepal,2007,Drowning,2069.660145538635,179639.23475364794,0.011521203307155628
Nepal,2008,Falls,2199.396021689852,178465.083908133,0.012323957008991278
Nepal,2008,Drowning,2040.733551072169,178465.083908133,0.011434917723865025
Nepal,2009,Falls,2255.1373292253775,178953.31040809455,0.012601819570046755
Nepal,2009,Drowning,2055.4905157637695,178953.31040809455,0.011486183245653968
Nepal,2010,Falls,2271.0232851174887,178153.88681845277,0.012747537119028837
Nepal,2010,Drowning,2026.7341970246057,178153.88681845277,0.011376311980720036
Nepal,2011,Falls,2272.417615305357,178497.98525189658,0.012730774591648853
Nepal,2011,Drowning,1978.688861998559,178497.98525189658,0.011085216783854624
Nepal,2012,Falls,2287.9036490482863,179671.6924217362,0.012733801403050077
Nepal,2012,Drowning,1954.8353535701744,179671.6924217362,0.010880040852410225
Nepal,2013,Falls,2363.6632611568266,180810.991704774,0.01307256400106575
Nepal,2013,Drowning,2035.046477949932,180810.991704774,0.011255103789667452
Nepal,2014,Falls,2416.796701993219,183311.7669160524,0.013184078374521317
Nepal,2014,Drowning,1880.3936646571944,183311.7669160524,0.010257899404342768
Nepal,2015,Falls,2443.210676833045,192012.47809428457,0.012724228659938166
Nepal,2015,Drowning,1955.770446157266,192012.47809428457,0.010185642441409027
Nepal,2016,Falls,2498.0045261087157,186528.28826580045,0.013392094836302207
Nepal,2016,Drowning,1912.1292899265743,186528.28826580045,0.010251149076121978
Nepal,2017,Falls,2582.812622515337,188581.94138462248,0.013695970057109333
Nepal,2017,Drowning,1915.1710656062587,188581.94138462248,0.010155644021609523
Nepal,2018,Falls,2640.054658678221,191259.90651379546,0.01380349236178151
Nepal,2018,Drowning,1864.4031768469,191259.90651379546,0.009748008408194122
Nepal,2019,Falls,2731.978392681512,194310.93791402903,0.014059828139423882
Nepal,2019,Drowning,1874.7124037060237,194310.93791402903,0.009648002443050694
Nepal,2020,Falls,2832.9244292663907,213579.77815327182,0.013264010543326774
Nepal,2020,Drowning,1921.573703977824,213579.77815327182,0.008996983331440863
Nepal,2021,Falls,3063.5421029477625,249609.49997326656,0.012273339369198171
Nepal,2021,Drowning,2005.5939371625504,249609.49997326656,0.008034926304396875
Nepal,2023,Falls,3331.2978095240915,217331.73284558472,0.015328170285611238
Nepal,2023,Drowning,1913.7513422450445,217331.73284558472,0.008805669182257772
Nepal,2022,Falls,3118.580083382857,211159.64027717974,0.01476882646366151
Nepal,2022,Drowning,1901.9910570698353,211159.64027717974,0.009007360755934123
