population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,656,Cellulitis,1,Number,2000,0.20742602197299664,0.6246101495929709,0.023189516454236045
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,657,Pyoderma,1,Number,2000,0.5439923833155206,1.291749377768806,0.08818646400150448
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,665,Decubitus ulcer,1,Number,2000,1.3802637125595592,2.3098800215166957,0.7987480846017726
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,668,Other skin and subcutaneous diseases,1,Number,2000,1.545024706795018,2.622916085280506,0.7555222903784609
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,686,Sudden infant death syndrome,1,Number,2000,495.31999742912313,861.4137400518603,286.7657133289654
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,690,Pedestrian road injuries,1,Number,2000,728.6957696558266,1059.4552732847474,462.611876788605
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,691,Cyclist road injuries,1,Number,2000,67.26233752279772,125.91398134499974,29.23963237123157
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,692,Motorcyclist road injuries,1,Number,2000,297.6620094382836,585.2224553892909,145.36150841100883
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,332,Meningitis,1,Number,2000,1215.4334926494976,1721.0175831057534,858.4676309574027
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,337,Encephalitis,1,Number,2000,719.4653495330615,1670.3840890833262,156.25630011400762
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,338,Diphtheria,1,Number,2000,32.496559652963576,52.30499375448203,18.29933374120748
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,339,Pertussis,1,Number,2000,1287.9509396621836,3762.843944617792,132.47675768516945
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,340,Tetanus,1,Number,2000,1988.7061290759434,3558.8407045501795,973.3540062303747
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,341,Measles,1,Number,2000,8276.846135527418,13767.00838096559,4134.3498427510995
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,342,Varicella and herpes zoster,1,Number,2000,84.77725084453209,121.52128725072066,60.70013428724317
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,345,Malaria,1,Number,2000,51.17737200600366,86.73215343535094,28.244607859045384
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,346,Chagas disease,1,Number,2000,0.0,0.0,0.0
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,348,Visceral leishmaniasis,1,Number,2000,296.3311358177694,998.1694252011786,0.07764920756546834
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,350,African trypanosomiasis,1,Number,2000,0.0,0.0,0.0
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,351,Schistosomiasis,1,Number,2000,0.0,0.0,0.0
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,352,Cysticercosis,1,Number,2000,3.3806428051100137,4.9720142736460495,2.1115001670441043
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,507,Other cardiovascular and circulatory diseases,1,Number,2000,314.1906615578625,495.4297666961824,189.76099354178936
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,1,Number,2000,12334.502058235257,16018.360218964493,9467.655952204956
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,300,HIV/AIDS resulting in other diseases,1,Number,2001,254.4288533249618,578.6526671381263,108.01189834830544
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,468,Testicular cancer,1,Number,2001,13.423391097756774,28.624727506477786,6.311014022560793
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,471,Kidney cancer,1,Number,2001,68.86074393827703,111.92218740921672,42.5233252120236
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,474,Bladder cancer,1,Number,2001,123.84123131109978,196.58702617579812,74.19475859528735
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,477,Brain and central nervous system cancer,1,Number,2001,244.53372143859792,328.6443569380849,175.4388820418586
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,480,Thyroid cancer,1,Number,2001,68.030456617057,92.82566269479834,48.53926864654945
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,418,Liver cancer due to hepatitis B,1,Number,2000,61.245757007474566,104.78900957007762,36.34841275526936
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,419,Liver cancer due to hepatitis C,1,Number,2000,64.24721321044355,105.45801863518962,38.76500233535373
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2000,54.419539061602535,89.37763206981205,31.461679478896425
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,421,Liver cancer due to other causes,1,Number,2000,7.490096785955268,12.115460045858507,4.548911086534062
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,423,Larynx cancer,1,Number,2000,274.05119457466026,412.0747719194973,141.1004247127351
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2000,830.8571041061646,1170.621012196267,584.2205355824427
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,429,Breast cancer,1,Number,2000,548.9974720693536,799.1351825221527,358.804353234504
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,432,Cervical cancer,1,Number,2000,850.2914042679568,1313.2738622552172,505.9488679260447
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,435,Uterine cancer,1,Number,2000,52.96366845977421,93.32298383564965,22.573864711671728
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,438,Prostate cancer,1,Number,2000,255.4872211709668,393.8948137449684,164.3703162583331
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,441,Colon and rectum cancer,1,Number,2000,395.69935587888125,532.2424471257552,276.86516671597843
